RUN	com.gatling.apitests.reqres.GetAPITest	getapitest	1699724896971	1	3.6.1
USER	Get Api Request Demo	START	1699724898504
REQUEST		Get Single User	1699724898546	1699724898895	OK	 
USER	Get Api Request Demo	START	1699724899000
REQUEST		Get Single User	1699724899001	1699724899105	OK	 
USER	Get Api Request Demo	START	1699724899506
REQUEST		Get Single User	1699724899507	1699724899615	OK	 
USER	Get Api Request Demo	START	1699724900010
REQUEST		Get Single User	1699724900010	1699724900104	OK	 
USER	Get Api Request Demo	START	1699724900512
REQUEST		Get Single User	1699724900512	1699724900597	OK	 
USER	Get Api Request Demo	END	1699724900971
USER	Get Api Request Demo	START	1699724900984
REQUEST		Get Single User	1699724900984	1699724901090	OK	 
USER	Get Api Request Demo	END	1699724901108
USER	Get Api Request Demo	START	1699724901485
REQUEST		Get Single User	1699724901485	1699724901571	OK	 
USER	Get Api Request Demo	END	1699724901625
USER	Get Api Request Demo	START	1699724901997
REQUEST		Get Single User	1699724901998	1699724902099	OK	 
USER	Get Api Request Demo	END	1699724902121
USER	Get Api Request Demo	START	1699724902495
REQUEST		Get Single User	1699724902495	1699724902577	OK	 
USER	Get Api Request Demo	END	1699724902605
USER	Get Api Request Demo	START	1699724902995
REQUEST		Get Single User	1699724902996	1699724903072	OK	 
USER	Get Api Request Demo	END	1699724903103
USER	Get Api Request Demo	END	1699724903583
USER	Get Api Request Demo	END	1699724904105
USER	Get Api Request Demo	END	1699724904583
USER	Get Api Request Demo	END	1699724905075
